season,week,position,player_id,player_display_name,actual,baseline_pred,ensemble_pred,model_pred,q10,q50,q90,baseline_error,model_error,ensemble_error,model_advantage,ensemble_advantage
2023,1,WR,00-0031941,Jamison Crowder,0.0,3.0,1.806,0.236,-0.186,-0.001,2.79,3.0,0.236,1.806,2.764,1.194
2023,1,WR,00-0032200,Ty Montgomery,3.6,2.75,3.691,4.144,0.004,3.011,11.643,0.85,0.544,0.091,0.306,0.759
2023,1,WR,00-0032208,Phillip Dorsett,0.0,3.925,6.398,6.848,0.106,4.358,15.734,3.925,6.848,6.398,-2.923,-2.473
2023,1,WR,00-0032211,Tyler Lockett,3.0,12.425,12.639,12.183,2.756,10.031,21.563,9.425,9.183,9.639,0.242,-0.214
2023,1,WR,00-0032385,Sterling Shepard,0.0,9.475,11.186,11.841,2.481,10.057,21.39,9.475,11.841,11.186,-2.366,-1.711
2023,1,WR,00-0032398,Chris Moore,0.0,5.45,9.38,8.594,2.367,7.569,18.891,5.45,8.594,9.38,-3.144,-3.93
2023,1,WR,00-0032464,Kalif Raymond,3.0,10.425,7.422,6.954,0.697,5.118,16.48,7.425,3.954,4.422,3.471,3.003
2023,1,WR,00-0032765,Michael Thomas,11.1,16.875,12.314,11.717,2.644,10.58,22.552,5.775,0.617,1.214,5.158,4.561
2023,1,WR,00-0033009,Tyler Boyd,3.0,7.425,7.973,6.729,0.51,5.647,15.553,4.425,3.729,4.973,0.696,-0.548
2023,1,WR,00-0033040,Tyreek Hill,44.5,14.05,13.378,12.967,3.639,12.011,23.204,30.45,31.533,31.122,-1.083,-0.672
2023,1,WR,00-0033251,Zach Pascal,0.0,0.775,2.465,3.399,-0.023,2.6,10.974,0.775,3.399,2.465,-2.624,-1.69
2023,1,WR,00-0033282,Curtis Samuel,11.0,6.475,7.412,6.834,0.324,5.489,15.333,4.525,4.166,3.588,0.359,0.937
2023,1,WR,00-0033292,Trent Taylor,0.0,1.1,-0.447,0.125,-0.192,-0.047,2.813,1.1,0.125,0.447,0.975,0.653
2023,1,WR,00-0033307,Kendrick Bourne,24.4,9.05,8.679,8.94,1.359,5.586,18.468,15.35,15.46,15.721,-0.11,-0.371
2023,1,WR,00-0033466,Isaiah McKenzie,0.0,3.675,2.819,0.1,-0.182,0.034,4.563,3.675,0.1,2.819,3.575,0.856
2023,1,WR,00-0033536,Mike Williams,8.5,11.475,12.832,12.41,2.734,8.85,21.868,2.975,3.91,4.332,-0.935,-1.357
2023,1,WR,00-0033555,Mack Hollins,6.1,6.55,8.433,8.938,1.793,6.563,18.141,0.45,2.838,2.333,-2.388,-1.883
2023,1,WR,00-0033572,Jamal Agnew,-0.2,3.2,3.988,4.338,-0.004,2.516,12.702,3.4,4.538,4.188,-1.138,-0.788
2023,1,WR,00-0033591,Noah Brown,4.9,7.025,6.894,5.995,0.291,5.254,16.04,2.125,1.095,1.994,1.03,0.131
2023,1,WR,00-0033857,JuJu Smith-Schuster,7.3,8.025,8.924,7.928,0.972,6.476,18.065,0.725,0.628,1.624,0.097,-0.899
2023,1,WR,00-0033891,Zay Jones,16.5,12.125,10.53,10.581,2.545,9.605,20.977,4.375,5.919,5.97,-1.544,-1.595
2023,1,WR,00-0033921,Chris Godwin Jr.,10.1,16.775,12.199,11.518,3.2,10.854,23.922,6.675,1.418,2.099,5.257,4.576
2023,1,WR,00-0033943,Josh Reynolds,12.0,6.325,6.261,5.955,0.232,4.848,14.22,5.675,6.045,5.739,-0.37,-0.064
2023,1,WR,00-0034054,River Cracraft,13.0,3.975,4.81,4.417,0.004,3.176,12.025,9.025,8.583,8.19,0.442,0.835
2023,1,WR,00-0034272,Marquez Valdes-Scantling,6.8,5.525,7.609,7.062,0.239,5.865,14.917,1.275,0.262,0.809,1.013,0.466
2023,1,WR,00-0034286,Richie James,1.6,11.45,11.973,12.317,2.399,9.306,21.098,9.85,10.717,10.373,-0.867,-0.523
2023,1,WR,00-0034317,Keith Kirkwood,0.0,0.95,4.018,3.704,-0.041,2.491,10.959,0.95,3.704,4.018,-2.754,-3.068
2023,1,WR,00-0034348,Courtland Sutton,13.2,8.025,10.079,9.364,2.258,7.506,19.283,5.175,3.836,3.121,1.339,2.054
2023,1,WR,00-0034386,Justin Watson,6.5,2.85,6.051,6.008,0.075,4.135,14.559,3.65,0.492,0.449,3.158,3.201
2023,1,WR,00-0034407,Ray-Ray McCloud,0.0,5.225,0.7,-0.25,-0.182,-0.001,2.934,5.225,0.25,0.7,4.975,4.525
2023,1,WR,00-0034419,Braxton Berrios,7.2,1.45,3.209,3.517,0.008,2.846,11.451,5.75,3.683,3.991,2.067,1.759
2023,1,WR,00-0034521,Allen Lazard,6.6,9.45,10.461,10.134,2.38,9.555,21.126,2.85,3.534,3.861,-0.684,-1.011
2023,1,WR,00-0034646,Brandon Powell,0.0,2.7,2.851,0.627,-0.181,-0.046,2.697,2.7,0.627,2.851,2.073,-0.151
2023,1,WR,00-0034764,Michael Gallup,2.0,5.925,8.602,8.813,0.989,7.0,18.783,3.925,6.813,6.602,-2.888,-2.677
2023,1,WR,00-0034775,Christian Kirk,1.9,11.7,11.867,12.863,3.42,11.326,23.497,9.8,10.963,9.967,-1.163,-0.167
2023,1,WR,00-0034827,DJ Moore,4.5,16.025,13.129,12.733,3.333,11.649,22.944,11.525,8.233,8.629,3.292,2.896
2023,1,WR,00-0034837,Calvin Ridley,24.1,15.25,14.226,15.242,6.547,14.187,25.199,8.85,8.858,9.874,-0.008,-1.024
